Change,  893639,  13079
Change,  853456,  13082
Change,  1033019,  13077
Change,  483737,  10418
Add,  542821,  11098
Change,  877945,  13077
Change,  987501,  13073
Change,  1009223,  13007
Change,  878066,  13073
Change,  839100,  13024
Change,  878076,  13081
Change,  847759,  13077
Change,  816300,  13079
Change,  816605,  15109
Change,  884860,  13066
Add,  831407,  13091
Change,  808545,  13081
Change,  1100094,  13024
Change,  942940,  15728
Change,  1033131,  13024
Change,  893626,  13024
Change,  800420,  13007
Add,  793829,  13049
Add,  800507,  13062
Change,  942932,  17158
Change,  861019,  13078
Change,  878050,  13077
Change,  942952,  15862
Change,  847767,  13090
Add,  710590,  12988
Change,  853477,  15862
Change,  943032,  15862
Change,  908474,  13066
Change,  878094,  13007
Change,  839320,  13078
Change,  893612,  13084
Change,  884971,  15862
Add,  578841,  11098
Change,  794635,  13048
Change,  800295,  13091
Change,  884941,  13077
Change,  1075460,  13073
Change,  878103,  13082
Change,  893611,  13084
Add,  566904,  11092
Change,  877998,  13084
Add,  858730,  13077
Change,  1033016,  15862
Change,  927429,  17158
Change,  1033098,  21476
Add,  808524,  13077
Change,  823944,  13081
Change,  839151,  13078
Change,  861011,  13048
Add,  839330,  13084
Change,  1033177,  13081
Change,  878033,  15728
Change,  839335,  13082
Add,  808523,  13077
Change,  953769,  13091
Add,  533124,  11092
Change,  861021,  13007
Change,  893636,  13066
Add,  506108,  10988
Change,  884871,  13077
Change,  483773,  10417
Add,  499297,  11092
Change,  878044,  15862
Change,  885050,  13073
Change,  878086,  13078
Change,  1075463,  13081
Change,  999435,  13084
Add,  593320,  10418
Change,  893642,  15862
Change,  893655,  13088
Change,  853335,  13077
Change,  893688,  13078
Change,  853373,  13078
Change,  1044668,  17158
Add,  566905,  11098
Add,  651258,  10417
Change,  1009173,  15862
Change,  884959,  15728
Change,  1020289,  13091
Change,  800366,  13073
Add,  509603,  11092
Change,  953758,  13077
Change,  893677,  14376
Add,  574038,  11092
Change,  794649,  13007
Change,  1033084,  13082
Change,  861013,  13048
Change,  853440,  13078
Change,  999442,  13082
Change,  877977,  14376
Change,  884877,  13088
Change,  794652,  13062
Change,  942958,  13090
Change,  794732,  13024
Add,  501252,  11098
Change,  942973,  13081
Change,  884905,  13048
Add,  1009168,  13066
Add,  552475,  10988
Delete,  613186,  10417
Change,  999431,  13007
Change,  839108,  13066
Change,  893598,  13048
Delete,  617068,  10417
Change,  1033041,  13081
Change,  927419,  13082
Change,  816357,  13084
Change,  885011,  13048
Change,  893562,  13077
Change,  853335,  13077
Add,  861025,  13007
Change,  1100183,  13077
Add,  816330,  13081
Change,  800475,  13090
Add,  559698,  11098
Change,  987519,  13078
Change,  884960,  15728
Change,  893579,  13091
Add,  517504,  11092
Add,  533117,  10988
Change,  919392,  13066
Add,  593449,  10418
Change,  1100162,  13007
Add,  594145,  10418
Change,  800656,  13091
Change,  878005,  15249
Add,  839313,  13048
Change,  878087,  13078
Change,  1033035,  13073
Change,  893688,  13078
Change,  893577,  13091
Change,  893678,  14376
Add,  574046,  11098
Change,  794642,  13078
Change,  927419,  13082
Change,  1116308,  13083
Change,  1009172,  13079
Add,  552484,  11092
Add,  583689,  11092
Change,  853425,  13081
Change,  861016,  13078
Change,  884895,  13081
Change,  853448,  13007
Add,  533121,  10988
Add,  800455,  13073
Change,  884920,  13084
Change,  953794,  13078
Change,  860966,  13079
Add,  808576,  13084
Change,  794636,  13048
Change,  1033029,  13090
Change,  1100100,  21476
Change,  885051,  15728
Change,  794653,  13062
Change,  861024,  13007
Add,  571673,  11098
Add,  823958,  13078
Change,  884911,  13078
Change,  1032998,  17158
Change,  953770,  13091
Change,  943055,  13081
Change,  1044578,  13088
Change,  1009218,  13078
Add,  574033,  10988
Change,  943043,  13091
Change,  885029,  13084
Change,  1116260,  13077
Add,  987467,  15728
Change,  1033152,  15862
Change,  953751,  13079
Change,  794683,  14376
Change,  893612,  13084
Change,  1033015,  15862
Change,  893540,  13024
Change,  1033141,  15728
Change,  877958,  13091
Change,  893651,  13088
Add,  816310,  13077
Change,  943051,  13073
Add,  893700,  13084
Change,  839297,  13073
Change,  831395,  13088
Change,  893679,  14376
Change,  794629,  13081
Change,  884988,  13090
Change,  794637,  13048
Change,  908488,  13077
Change,  839313,  13048
Change,  893551,  13066
Change,  794669,  13082
Change,  839333,  13082
Change,  893656,  13090
Change,  1168590,  13066
Change,  1020398,  13078
Change,  999479,  13084
Change,  1157435,  13066
Add,  878085,  13048
Add,  557342,  11098
Add,  574032,  10988
Change,  847764,  13088
Change,  1116283,  14376
Change,  1157434,  13066
Change,  943060,  14376
Add,  853459,  13082
Change,  794654,  13062
Change,  1075485,  13084
Change,  861019,  13078
Change,  794656,  13084
Add,  823972,  13084
Add,  542807,  10988
Change,  987431,  13048
Change,  943063,  13048
Add,  559694,  11092
Change,  884848,  13024
Change,  919420,  13073
Change,  987383,  15728
Change,  893606,  13007
Change,  942949,  15862
Add,  867706,  13048
Change,  893614,  13084
Change,  942931,  13024
Change,  885050,  13073
Change,  919402,  13077
Change,  1044596,  14376
Change,  489866,  10417
Change,  800481,  13091
Change,  1033141,  15728
Change,  1116273,  13073
Change,  816366,  13082
Change,  487757,  10417
Change,  800524,  13082
Change,  867709,  13078
Change,  861000,  13081
Add,  578834,  10988
Change,  800504,  13062
Change,  893620,  13082
Add,  853409,  13077
Change,  867657,  13066
Change,  861023,  13007
Change,  884901,  14376
Add,  1100126,  13077
Change,  831558,  13049
Change,  794641,  13078
Change,  964842,  13088
Change,  839212,  13091
Change,  867667,  13077
Change,  861026,  13007
Change,  877923,  13024
Change,  919448,  13007
Add,  1009206,  13081
Change,  1157525,  13072
Change,  858848,  13078
Change,  853338,  13077
Change,  485223,  10418
Change,  877963,  13073
