Audit_Action,time_segment_key,myemployee_key,Duration,start_day,start_time
Change,597602,10418,8.75000,0.8660254,0.98078525
Change,597601,10418,8.75000,0.0,0.98078525
Change,597600,10418,8.75000,0.8660254,0.98078525
Change,597599,10418,8.75000,0.8660254,0.98078525
Change,597423,10418,8.75000,0.8660254,0.98078525
Change,597422,10418,8.75000,0.5,0.98078525
Change,594329,10418,8.75000,1.2246469E-16,0.98078525
Change,594328,10418,8.75000,1.0,0.98078525
Change,594327,10418,8.75000,1.0,0.98078525
Change,594326,10418,8.75000,0.0,0.98078525
Change,594325,10418,8.75000,0.8660254,0.98078525
Change,594146,10418,8.75000,0.5,0.98078525
Change,594145,10418,8.75000,1.0,0.98078525
Change,594144,10418,8.75000,0.0,0.98078525
Change,594143,10418,8.75000,0.5,0.98078525
Change,594142,10418,8.75000,0.8660254,0.98078525
Change,593590,10418,8.75000,0.8660254,0.98078525
Change,593589,10418,8.75000,0.8660254,0.98078525
Change,593588,10418,8.75000,1.2246469E-16,0.98078525
Change,593453,10418,8.75000,0.5,0.98078525
Change,593452,10418,8.75000,1.0,0.98078525
Change,593451,10418,8.75000,0.0,0.98078525
Change,593450,10418,8.75000,0.5,0.98078525
Change,593449,10418,8.75000,0.8660254,0.98078525
Change,593323,10418,8.75000,1.2246469E-16,0.98078525
Change,593322,10418,8.75000,0.8660254,0.98078525
Change,593321,10418,8.75000,0.5,0.98078525
Change,593320,10418,8.75000,1.0,0.98078525
Change,593319,10418,8.75000,0.0,0.98078525
